Customer ID,Gender,DOB,Age,Age Range,Work Activity,Income,Income Range,Marital Status,Habitation,Trans Description,Trans Amount,Trans Date,Trans Category,Bank Branch,Account Type,Open Date,Account Balance,Currency
fe51c153-fbec-4b64-9b00-2530035ef0e1_3d5e4e2c-ea70-4f66-9a3d-6b09b2dfe61c,Male,1950-11-22,71,70 -79,parttime,20267.3,20K - 30K,Married,With Spouse,PROP  9896988 INS,105.77,2018-10-01,Bills and Utilities,538,DDA,2018-3-1,2548.22,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_3d5e4e2c-ea70-4f66-9a3d-6b09b2dfe61c,Male,1950-11-22,71,70 -79,parttime,20267.3,20K - 30K,Married,With Spouse,PROP  9896988 INS,105.77,2018-10-01,Bills and Utilities,538,SDA,2018-3-1,8306.92,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_824bb9f0-b72c-4c3b-a245-25fd739651d4,Female,2003-1-28,18,Below 20,,0,Below 10K,Single,With Parent,MCDONALD'S #1975 QPS,6.57,2018-9-28,Food and Dining,252,DDA,2018-3-1,30.53,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_824bb9f0-b72c-4c3b-a245-25fd739651d4,Female,2003-1-28,18,Below 20,,0,Below 10K,Single,With Parent,MCDONALD'S #1975 QPS,6.57,2018-9-28,Food and Dining,252,SDA,2018-3-1,115.48,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_465e0645-3372-4c51-937d-9b68d7dadb4f,Other,1999-1-28,22,20 - 29,parttime,7935.51,Below 10K,Single,With Parent,STARBUCKS #21589,2.65,2018-6-05,Food and Dining,1198,DDA,2018-3-1,5816.62,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_465e0645-3372-4c51-937d-9b68d7dadb4f,Other,1999-1-28,22,20 - 29,parttime,7935.51,Below 10K,Single,With Parent,STARBUCKS #21589,6.42,2018-8-03,Food and Dining,1198,DDA,2018-3-1,5816.62,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_465e0645-3372-4c51-937d-9b68d7dadb4f,Other,1999-1-28,22,20 - 29,parttime,7935.51,Below 10K,Single,With Parent,STARBUCKS #21589,2.65,2018-6-05,Food and Dining,1198,SDA,2018-3-1,3224.2,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_465e0645-3372-4c51-937d-9b68d7dadb4f,Other,1999-1-28,22,20 - 29,parttime,7935.51,Below 10K,Single,With Parent,STARBUCKS #21589,6.42,2018-8-03,Food and Dining,1198,SDA,2018-3-1,3224.2,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_7ebca576-95e2-4310-a140-f6e211447dd0,Female,2003-11-22,18,Below 20,,0,Below 10K,Single,With Parent,TIM HORTONS #489 _F,2.84,2018-5-25,Food and Dining,12676,DDA,2018-3-1,59.44,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_7ebca576-95e2-4310-a140-f6e211447dd0,Female,2003-11-22,18,Below 20,,0,Below 10K,Single,With Parent,E TFR C0***bwZ,22,2018-5-18,Transfer,12676,DDA,2018-3-1,59.44,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_7ebca576-95e2-4310-a140-f6e211447dd0,Female,2003-11-22,18,Below 20,,0,Below 10K,Single,With Parent,TIM HORTONS #489 _F,2.84,2018-5-25,Food and Dining,12676,SDA,2018-3-1,148.8,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_7ebca576-95e2-4310-a140-f6e211447dd0,Female,2003-11-22,18,Below 20,,0,Below 10K,Single,With Parent,E TFR C0***bwZ,22,2018-5-18,Transfer,12676,SDA,2018-3-1,148.8,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_269b82c8-7dda-4b7d-a253-44e725024de7,Male,1987-9-17,34,30 - 39,fulltime,28365.81,20K - 30K,Single,,ZR999 TFR-TO C/C,289.74,2018-7-03,Transfer,658,DDA,2018-3-1,31172.69,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_269b82c8-7dda-4b7d-a253-44e725024de7,Male,1987-9-17,34,30 - 39,fulltime,28365.81,20K - 30K,Single,,ZR999 TFR-TO C/C,289.74,2018-7-03,Transfer,658,SDA,2018-3-1,11346.32,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_8aba9e31-8f66-41be-baa4-b37d5c80df66,Male,1994-6-9,27,20 - 29,parttime,17870.49,10K - 20K,Single,,ADP PMT 81998829,1923.08,2018-5-31,Income,255,DDA,2018-3-1,29982.43,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_8aba9e31-8f66-41be-baa4-b37d5c80df66,Male,1994-6-9,27,20 - 29,parttime,17870.49,10K - 20K,Single,,ADP PMT 81998829,1923.08,2018-5-31,Income,255,SDA,2018-3-1,7148.2,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_76fdca75-be29-4272-ac7e-12c886411328,Female,1997-6-9,24,20 - 29,parttime,7668.87,Below 10K,Single,With Parent,EMAIL TFR C0***VeZ,34,2018-4-03,Transfer,1800,DDA,2018-3-1,5928.12,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_76fdca75-be29-4272-ac7e-12c886411328,Female,1997-6-9,24,20 - 29,parttime,7668.87,Below 10K,Single,With Parent,EMAIL TFR C0***VeZ,34,2018-4-03,Transfer,1800,SDA,2018-3-1,3117.54,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_b81582c7-6800-4591-bab3-9da621008226,Female,1952-7-13,69,60 - 69,fulltime,38778.05,30K - 40K,Divorced,Group,CDN TIRE STORE #09913,103.48,2018-9-20,Home,197,DDA,2018-3-1,3239.03,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_b81582c7-6800-4591-bab3-9da621008226,Female,1952-7-13,69,60 - 69,fulltime,38778.05,30K - 40K,Divorced,Group,VOICE NETWORK INC.,98.3,2018-5-16,Bills and Utilities,197,DDA,2018-3-1,3239.03,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_b81582c7-6800-4591-bab3-9da621008226,Female,1952-7-13,69,60 - 69,fulltime,38778.05,30K - 40K,Divorced,Group,CDN TIRE STORE #09913,103.48,2018-9-20,Home,197,SDA,2018-3-1,15711.22,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_b81582c7-6800-4591-bab3-9da621008226,Female,1952-7-13,69,60 - 69,fulltime,38778.05,30K - 40K,Divorced,Group,VOICE NETWORK INC.,98.3,2018-5-16,Bills and Utilities,197,SDA,2018-3-1,15711.22,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_6eb7b8d7-6153-42e9-ac46-82d4c17d7f51,Male,1949-3-1,72,70 -79,fulltime,89070.1,80K - 90K,Married,With Spouse,MTG CO 809780096,948.36,2018-7-20,Transfer,1223,DDA,2018-3-1,48577.37,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_6eb7b8d7-6153-42e9-ac46-82d4c17d7f51,Male,1949-3-1,72,70 -79,fulltime,89070.1,80K - 90K,Married,With Spouse,MTG CO 809780096,948.36,2018-7-20,Transfer,1223,SDA,2018-3-1,35828.04,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_210d1d75-d5f6-4d99-a42a-d3a4d32e2bde,Other,1955-12-26,66,60 - 69,fulltime,40049.15,40K - 50K,Married,With Spouse,ADP PMT 76385889,1540.35,2018-5-31,Income,607,DDA,2018-3-1,25849.85,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_210d1d75-d5f6-4d99-a42a-d3a4d32e2bde,Other,1955-12-26,66,60 - 69,fulltime,40049.15,40K - 50K,Married,With Spouse,ADP PMT 76385889,1540.35,2018-5-31,Income,607,SDA,2018-3-1,16219.66,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_894a3dbe-dcd8-4621-87f0-791275bb9c2f,Male,2002-9-17,19,Below 20,,0,Below 10K,Single,With Parent,STARBUCKS #4227,1.24,2018-5-17,Food and Dining,392,DDA,2018-3-1,20.29,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_894a3dbe-dcd8-4621-87f0-791275bb9c2f,Male,2002-9-17,19,Below 20,,0,Below 10K,Single,With Parent,STARBUCKS #4227,1.24,2018-5-17,Food and Dining,392,SDA,2018-3-1,81.26,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_10a0a93d-22c4-4948-a61c-f5a578ccc7d4,Female,2003-5-7,18,Below 20,,0,Below 10K,Single,With Parent,TIM HORTONS #491 _F,1.77,2018-8-02,Food and Dining,1304,DDA,2018-3-1,36.18,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_10a0a93d-22c4-4948-a61c-f5a578ccc7d4,Female,2003-5-7,18,Below 20,,0,Below 10K,Single,With Parent,TIM HORTONS #491 _F,1.77,2018-8-02,Food and Dining,1304,SDA,2018-3-1,0,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_bcab1703-d13f-49c8-986d-4e4c223b8ec1,Male,1980-9-16,41,40 - 49,fulltime,124518,Above 100K,Single,With Parent,ADP PMT 99964851,4789.15,2018-5-17,Income,1967,DDA,2018-3-1,94798.45,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_bcab1703-d13f-49c8-986d-4e4c223b8ec1,Male,1980-9-16,41,40 - 49,fulltime,124518,Above 100K,Single,With Parent,ADP PMT 15994699,4789.15,2018-5-03,Income,1967,DDA,2018-3-1,94798.45,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_bcab1703-d13f-49c8-986d-4e4c223b8ec1,Male,1980-9-16,41,40 - 49,fulltime,124518,Above 100K,Single,With Parent,ADP PMT 99964851,4789.15,2018-5-17,Income,1967,SDA,2018-3-1,49857.2,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_bcab1703-d13f-49c8-986d-4e4c223b8ec1,Male,1980-9-16,41,40 - 49,fulltime,124518,Above 100K,Single,With Parent,ADP PMT 15994699,4789.15,2018-5-03,Income,1967,SDA,2018-3-1,49857.2,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a9ea9582-f708-40f6-92b2-36e945de04c7,Male,2004-2-29,17,Below 20,,0,Below 10K,Single,With Parent,TIM HORTONS #989 _F,2.13,2018-9-25,Food and Dining,1592,DDA,2018-3-1,6.02,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a9ea9582-f708-40f6-92b2-36e945de04c7,Male,2004-2-29,17,Below 20,,0,Below 10K,Single,With Parent,TIM HORTONS #989 _F,2.13,2018-9-25,Food and Dining,1592,SDA,2018-3-1,122.88,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_bbc8b795-2cdd-462f-b91e-e9b356933943,Female,2002-7-12,19,Below 20,,0,Below 10K,Single,With Parent,STARBUCKS #4711,1.52,2018-4-20,Food and Dining,1923,DDA,2018-3-1,33.76,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_bbc8b795-2cdd-462f-b91e-e9b356933943,Female,2002-7-12,19,Below 20,,0,Below 10K,Single,With Parent,STARBUCKS #4711,1.52,2018-4-20,Food and Dining,1923,SDA,2018-3-1,101.5,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_62d5c5a6-f2a5-461b-aaf2-8f01c110c4e3,Male,1987-12-27,34,30 - 39,parttime,5051.31,Below 10K,Single,With Parent,E TFR C0***ZgB,47,2018-4-06,Transfer,1864,DDA,2018-3-1,2904.83,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_62d5c5a6-f2a5-461b-aaf2-8f01c110c4e3,Male,1987-12-27,34,30 - 39,parttime,5051.31,Below 10K,Single,With Parent,NSF FEE,48,2018-3-31,Transfer,1864,DDA,2018-3-1,2904.83,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_62d5c5a6-f2a5-461b-aaf2-8f01c110c4e3,Male,1987-12-27,34,30 - 39,parttime,5051.31,Below 10K,Single,With Parent,E TFR C0***ZgB,47,2018-4-06,Transfer,1864,SDA,2018-3-1,2070.52,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_62d5c5a6-f2a5-461b-aaf2-8f01c110c4e3,Male,1987-12-27,34,30 - 39,parttime,5051.31,Below 10K,Single,With Parent,NSF FEE,48,2018-3-31,Transfer,1864,SDA,2018-3-1,2070.52,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a715eb84-ef0a-410a-a19e-d534ccd93c6e,Male,1974-9-16,47,40 - 49,fulltime,42291.7,40K - 50K,Divorced,With Spouse,E TFR C2***agy,20,2018-5-31,Transfer,375,DDA,2018-3-1,22108.47,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a715eb84-ef0a-410a-a19e-d534ccd93c6e,Male,1974-9-16,47,40 - 49,fulltime,42291.7,40K - 50K,Divorced,With Spouse,BULLFROG PWR ZZ87U0,81.22,2018-6-05,Bills and Utilities,375,DDA,2018-3-1,22108.47,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a715eb84-ef0a-410a-a19e-d534ccd93c6e,Male,1974-9-16,47,40 - 49,fulltime,42291.7,40K - 50K,Divorced,With Spouse,E TFR C2***agy,20,2018-5-31,Transfer,375,SDA,2018-3-1,17116.68,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_a715eb84-ef0a-410a-a19e-d534ccd93c6e,Male,1974-9-16,47,40 - 49,fulltime,42291.7,40K - 50K,Divorced,With Spouse,BULLFROG PWR ZZ87U0,81.22,2018-6-05,Bills and Utilities,375,SDA,2018-3-1,17116.68,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_ec64b071-d514-48fa-8e36-0f92fbe9f13b,Female,1986-5-7,35,30 - 39,fulltime,31599,30K - 40K,Married,With Spouse,CZ762 TFR-TO C/C,736.31,2018-10-01,Transfer,1800,DDA,2018-3-1,11773.91,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_ec64b071-d514-48fa-8e36-0f92fbe9f13b,Female,1986-5-7,35,30 - 39,fulltime,31599,30K - 40K,Married,With Spouse,CZ762 TFR-TO C/C,736.31,2018-10-01,Transfer,1800,SDA,2018-3-1,12839.6,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_90956258-90b7-43bf-b776-5013eca80a81,Male,1942-5-7,79,70 -79,,16877.7,10K - 20K,Married,With Spouse,CANADA CPP 69999348,400.62,2018-4-05,Income,12324,DDA,2018-3-1,2335.93,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_90956258-90b7-43bf-b776-5013eca80a81,Male,1942-5-7,79,70 -79,,16877.7,10K - 20K,Married,With Spouse,ADP PMT 48690382,248.53,2018-4-19,Income,12324,DDA,2018-3-1,2335.93,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_90956258-90b7-43bf-b776-5013eca80a81,Male,1942-5-7,79,70 -79,,16877.7,10K - 20K,Married,With Spouse,CANADA CPP 69999348,400.62,2018-4-05,Income,12324,SDA,2018-3-1,6951.08,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_90956258-90b7-43bf-b776-5013eca80a81,Male,1942-5-7,79,70 -79,,16877.7,10K - 20K,Married,With Spouse,ADP PMT 48690382,248.53,2018-4-19,Income,12324,SDA,2018-3-1,6951.08,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_4ee15e88-8702-411b-bc2b-30a1220a3bc0,Male,1935-4-5,86,Above 80,,25078.9,20K - 30K,Married,With Spouse,GC 2894-TRANSFER,10031.56,2018-3-01,Transfer,658,DDA,2018-3-1,4292.99,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_4ee15e88-8702-411b-bc2b-30a1220a3bc0,Male,1935-4-5,86,Above 80,,25078.9,20K - 30K,Married,With Spouse,GC 2894-TRANSFER,10031.56,2018-3-01,Transfer,658,SDA,2018-3-1,10231.56,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_6fbde79b-e445-4d3d-882d-3bbeb048a184,Female,1988-10-21,33,30 - 39,fulltime,43421.07,40K - 50K,Married,With Spouse,TEKSAVVY Z4N9I8,91.44,2018-5-30,Bills and Utilities,1967,DDA,2018-3-1,22283.64,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_6fbde79b-e445-4d3d-882d-3bbeb048a184,Female,1988-10-21,33,30 - 39,fulltime,43421.07,40K - 50K,Married,With Spouse,TEKSAVVY Z4N9I8,91.44,2018-5-30,Bills and Utilities,1967,SDA,2018-3-1,17568.42,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_55485b87-044f-4931-8a11-488ff0973b7a,Male,1992-10-21,29,20 - 29,parttime,5554.23,Below 10K,Single,With Parent,ODP INT,1190.416,2018-7-31,Transfer,12180,DDA,2018-3-1,3761.64,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_55485b87-044f-4931-8a11-488ff0973b7a,Male,1992-10-21,29,20 - 29,parttime,5554.23,Below 10K,Single,With Parent,ODP INT,1190.416,2018-7-31,Transfer,12180,SDA,2018-3-1,2271.7,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_1efb5078-25f6-485a-bd2b-397e29410d14,Female,1939-4-3,82,Above 80,,35385.7,30K - 40K,Married,With Spouse,E TFR C2***OVf,20,2018-7-27,Transfer,658,DDA,2018-3-1,18900.74,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_1efb5078-25f6-485a-bd2b-397e29410d14,Female,1939-4-3,82,Above 80,,35385.7,30K - 40K,Married,With Spouse,E TFR C2***OVf,20,2018-7-27,Transfer,658,SDA,2018-3-1,14354.28,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_b66b6077-4c6e-4e9f-b228-5761c75187c8,Male,1943-1-28,78,70 -79,,28981.4,20K - 30K,Separated,,TOR HYD ELEC PZ9899,89.3,2018-7-03,Bills and Utilities,532,DDA,2018-3-1,3522.81,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_b66b6077-4c6e-4e9f-b228-5761c75187c8,Male,1943-1-28,78,70 -79,,28981.4,20K - 30K,Separated,,TOR HYD ELEC PZ9899,89.3,2018-7-03,Bills and Utilities,532,SDA,2018-3-1,11592.56,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_65d4b89f-7343-4507-91ca-6c5d3df2561d,Female,1979-2-28,42,40 - 49,fulltime,31546,30K - 40K,Married,With Spouse,ADP PMT 89887511,1213.31,2018-7-12,Income,1584,DDA,2018-3-1,8685.09,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_65d4b89f-7343-4507-91ca-6c5d3df2561d,Female,1979-2-28,42,40 - 49,fulltime,31546,30K - 40K,Married,With Spouse,ADP PMT 89887511,1213.31,2018-7-12,Income,1584,SDA,2018-3-1,12818.4,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_70248bc5-b678-4329-bd3b-6f2828f1f709,Male,1992-2-29,29,20 - 29,parttime,10590.36,10K - 20K,Single,With Parent,NSF FEE,48,2018-6-30,Transfer,1195,DDA,2018-3-1,7586.71,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_70248bc5-b678-4329-bd3b-6f2828f1f709,Male,1992-2-29,29,20 - 29,parttime,10590.36,10K - 20K,Single,With Parent,NSF FEE,48,2018-6-30,Transfer,1195,SDA,2018-3-1,4286.14,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_51f5b02d-97aa-4d5b-9eda-20f7e0652ee1,Female,1999-6-9,22,20 - 29,,0,Below 10K,Single,With Parent,OLD NAVY 9193,24,2018-7-21,Shopping,1580,DDA,2018-3-1,103.08,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_51f5b02d-97aa-4d5b-9eda-20f7e0652ee1,Female,1999-6-9,22,20 - 29,,0,Below 10K,Single,With Parent,TIM HORTONS #582 _F,5.28,2018-9-07,Food and Dining,1580,DDA,2018-3-1,103.08,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_51f5b02d-97aa-4d5b-9eda-20f7e0652ee1,Female,1999-6-9,22,20 - 29,,0,Below 10K,Single,With Parent,OLD NAVY 9193,24,2018-7-21,Shopping,1580,SDA,2018-3-1,65.08,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_51f5b02d-97aa-4d5b-9eda-20f7e0652ee1,Female,1999-6-9,22,20 - 29,,0,Below 10K,Single,With Parent,TIM HORTONS #582 _F,5.28,2018-9-07,Food and Dining,1580,SDA,2018-3-1,65.08,CAD
fe51c153-fbec-4b64-9b00-2530035ef0e1_16c5ec47-eecb-4d54-a9c2-fc2e36403e89,Female,1931-11-22,90,Above 80,,86052.4,80K - 90K,Widowed,Group,EMAIL TFR C2***ZnS,51,2018-6-15,Transfer,32,DDA,2018-3-1,88276.62,CAD
